problem_statement,entailment,contradiction
It s a walking tour day in SIS Winter so t groups of students are visiting Torzhok Streets of Torzhok are so narrow that students have to go in a row one after another Initially some students are angry Let s describe a group of students by a string of capital letters and corresponds to an angry student corresponds to a patient student Such string describes the row from the last to the first student Every minute every angry student throws a snowball at the next student Formally if an angry student corresponds to the character with index i in the string describing a group then they will throw a snowball at the student that corresponds to the character with index i 1 students are given from the last to the first student If the target student was not angry yet they become angry Even if the first the rightmost in the string student is angry they don t throw a snowball since there is no one in front of them Let s look at the first example test The row initially looks like this Then after a minute the only single angry student will throw a snowball at the student in front of them and they also become angry After that no more students will become angry Your task is to help SIS Winter teachers to determine the last moment a student becomes angry for every group ,implementation,math
Vasya is very upset that many people on the Net mix uppercase and lowercase letters in one word That s why he decided to invent an extension for his favorite browser that would change the letters register in every word so that it either only consisted of lowercase letters or vice versa only of uppercase ones At that as little as possible letters should be changed in the word For example the word must be replaced with and the word with If a word contains an equal number of uppercase and lowercase letters you should replace all the letters with lowercase ones For example should be replaced by Your task is to use the given method on one given word ,implementation,math
There are piles of pebbles on the table the th pile contains pebbles Your task is to paint each pebble using one of the given colors so that for each color and any two piles and the difference between the number of pebbles of color in pile and number of pebbles of color in pile is at most one In other words let s say that is the number of pebbles of color in the th pile Then for any the following condition must be satisfied It isn t necessary to use all colors if color hasn t been used in pile then is considered to be zero ,greedy,math
You are given an integer number n The following algorithm is applied to it if n 0 then end algorithm find the smallest divisor d of n subtract d from n and go to step 1 Determine the number of subtrations the algorithm will make ,implementation,data structures
You are given an array a consisting of n integers Each position i 1 le i le n of the array is either locked or unlocked You can take the values on the unlocked positions rearrange them in any order and place them back into the unlocked positions You are not allowed to remove any values add the new ones or rearrange the values on the locked positions You are allowed to leave the values in the same order as they were For example let a 1 1 underline 3 2 underline 2 1 4 underline 0 the underlined positions are locked You can obtain the following arrays 1 1 underline 3 2 underline 2 1 4 underline 0 4 1 underline 3 2 underline 2 1 1 underline 0 1 1 underline 3 2 underline 2 1 4 underline 0 1 2 underline 3 1 underline 2 4 1 underline 0 and some others Let p be a sequence of prefix sums of the array a after the rearrangement So p 1 a 1 p 2 a 1 a 2 p 3 a 1 a 2 a 3 dots p n a 1 a 2 dots a n Let k be the maximum j 1 le j le n such that p j 0 If there are no j such that p j 0 then k 0 Your goal is to rearrange the values in such a way that k is minimum possible Output the array a after the rearrangement such that the value k for it is minimum possible If there are multiple answers then print any of them ,greedy,data structures
Petya and Vasya are playing a game Petya s got non transparent glasses standing in a row The glasses positions are indexed with integers from to from left to right Note that the positions are indexed but the glasses are not First Petya puts a marble under the glass in position Then he performs some possibly zero shuffling operations One shuffling operation means moving the glass from the first position to position the glass from the second position to position and so on That is a glass goes from position to position Consider all glasses are moving simultaneously during one shuffling operation When the glasses are shuffled the marble doesn t travel from one glass to another it moves together with the glass it was initially been put in After all shuffling operations Petya shows Vasya that the ball has moved to position Vasya s task is to say what minimum number of shuffling operations Petya has performed or determine that Petya has made a mistake and the marble could not have got from position to position ,implementation,math
Due to the coronavirus pandemic city authorities obligated citizens to keep a social distance The mayor of the city Semyon wants to light up Gluharniki park so that people could see each other even at night to keep the social distance The park is a rectangular table with n rows and m columns where the cells of the table are squares and the boundaries between the cells are streets External borders are also streets Every street has length 1 For example park with n m 2 has 12 streets You were assigned to develop a plan for lighting the park You can put lanterns in the middle of the streets The lamp lights two squares near it or only one square if it stands on the border of the park Semyon wants to spend the least possible amount of money on lighting but also wants people throughout the park to keep a social distance So he asks you to find the minimum number of lanterns that are required to light all the squares ,math,data structures
Ivan wants to make a necklace as a present to his beloved girl A is a cyclic sequence of beads of different colors Ivan says that necklace is relative to the cut point between two adjacent beads if the chain of beads remaining after this cut is a palindrome reads the same forward and backward Ivan has beads of colors He wants to make a necklace such that it s beautiful relative to as many cuts as possible He certainly wants to use all the beads Help him to make the most beautiful necklace ,math,data structures
William really wants to get a pet Since his childhood he dreamt about getting a pet grasshopper William is being very responsible about choosing his pet so he wants to set up a trial for the grasshopper The trial takes place on an array a of length n which defines lengths of hops for each of n cells A grasshopper can hop around the sells according to the following rule from a cell with index i it can jump to any cell with indices from i to i a i inclusive Let s call the of some array the smallest number of hops it would take a grasshopper to hop from the first cell to the last but before starting you can select no more than k cells and remove them from the array When a cell is removed all other cells are renumbered but the values of a i for each cell remains the same It is required to process q queries of the following format you are given three numbers l r k You are required to find the k grasshopper value for an array which is a subarray of the array a with elements from l to r inclusive ,data structures,math
Mishka has got empty boxes For every th box is a cube with side length Mishka can put a box into another box if the following conditions are met th box is not put into another box th box doesn t contain any other boxes box is smaller than box Mishka can put boxes into each other an arbitrary number of times He wants to minimize the number of boxes A box is called iff it is not put into some another box Help Mishka to determine the minimum possible number of boxes ,greedy,math
 There are n kids each of them is reading a unique book At the end of any day the i th kid will give his book to the p i th kid in case of i p i the kid will give his book to himself It is guaranteed that all values of p i are distinct integers from 1 to n i e p is a permutation The sequence p doesn t change from day to day it is fixed For example if n 6 and p 4 6 1 3 5 2 then at the end of the first day the book of the 1 st kid will belong to the 4 th kid the 2 nd kid will belong to the 6 th kid and so on At the end of the second day the book of the 1 st kid will belong to the 3 th kid the 2 nd kid will belong to the 2 th kid and so on Your task is to determine the number of the day the book of the i th child is returned back to him for the first time for every i from 1 to n Consider the following example p 5 1 2 4 3 The book of the 1 st kid will be passed to the following kids after the 1 st day it will belong to the 5 th kid after the 2 nd day it will belong to the 3 rd kid after the 3 rd day it will belong to the 2 nd kid after the 4 th day it will belong to the 1 st kid So after the fourth day the book of the first kid will return to its owner The book of the fourth kid will return to him for the first time after exactly one day You have to answer q independent queries ,math,data structures
Today we will be playing a red and white colouring game no this is not the Russian Civil War these are just the colours of the Canadian flag You are given an n times m grid of and characters is red is white and is blank The neighbours of a cell are those that share an edge with it those that only share a corner do not count Your job is to colour the blank cells red or white so that every red cell only has white neighbours and no red ones and every white cell only has red neighbours and no white ones You are not allowed to recolour already coloured cells ,implementation,greedy
You are given a string s consisting of n lowercase Latin letters n is even For each position i 1 le i le n in string s you are required to change the letter on this position either to the previous letter in alphabetic order or to the next one letters and have only one of these options Letter in every position must be changed For example letter should be changed either to or to letter should be changed to and letter should be changed to That way string for example can be changed to rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow String s is called a palindrome if it reads the same from left to right and from right to left For example strings and are palindromes and strings and are not Your goal is to check if it s possible to make string s a palindrome by applying the aforementioned changes to every position Print if string s can be transformed to a palindrome and otherwise Each testcase contains several strings for each of them you are required to solve the problem separately ,implementation,data structures
Luis has a sequence of n 1 integers a 1 a 2 ldots a n 1 For each i 1 2 ldots n 1 it is guaranteed that 0 leq a i n or a i n 2 He has calculated the sum of all the elements of the sequence and called this value s Luis has lost his sequence but he remembers the values of n and s Can you find the number of elements in the sequence that are equal to n 2 We can show that the answer is unique under the given constraints ,math,data structures
A country called Berland consists of cities numbered with integer numbers from to Some of them are connected by bidirectional roads Each road has some length There is a path from each city to any other one by these roads According to some Super Duper Documents Berland is protected by the Super Duper Missiles The exact position of the Super Duper Secret Missile Silos is kept secret but Bob managed to get hold of the information That information says that all silos are located exactly at a distance from the capital The capital is located in the city with number The documents give the formal definition the Super Duper Secret Missile Silo is located at some place which is either city or a point on a road if and only if the shortest distance from this place to the capital along the roads of the country equals exactly Bob wants to know how many missile silos are located in Berland to sell the information then to enemy spies Help Bob ,data structures,math
 Greatest Common Divisor of two integers x and y is the maximum integer z by which both x and y are divisible For example GCD 36 48 12 GCD 5 10 5 and GCD 7 11 1 Kristina has an array a consisting of exactly n positive integers She wants to count the GCD of each neighbouring pair of numbers to get a new array b called So the elements of the GCD sequence b will be calculated using the formula b i GCD a i a i 1 for 1 le i le n 1 Determine whether it is possible to remove number from the array a so that the GCD sequence b is non decreasing i e b i le b i 1 is always true For example let Khristina had an array a 20 6 12 3 48 36 If she removes a 4 3 from it and counts the GCD sequence of b she gets b 1 GCD 20 6 2 b 2 GCD 6 12 6 b 3 GCD 12 48 12 b 4 GCD 48 36 12 The resulting GCD sequence b 2 6 12 12 is non decreasing because b 1 le b 2 le b 3 le b 4 ,greedy,data structures
There are two popular keyboard layouts in Berland they differ only in letters positions All the other keys are the same In Berland they use alphabet with letters which coincides with English alphabet You are given two strings consisting of distinct letters each all keys of the first and the second layouts in the same order You are also given some text consisting of small and capital English letters and digits It is known that it was typed in the first layout but the writer intended to type it in the second layout Print the text if the same keys were pressed in the second layout Since all keys but letters are the same in both layouts the capitalization of the letters should remain the same as well as all other characters ,implementation,data structures
Sergey attends lessons of the ish language Each lesson he receives a hometask This time the task is to translate some sentence to the ish language Sentences of the ish language can be represented as strings consisting of lowercase Latin letters without spaces or punctuation marks Sergey totally forgot about the task until half an hour before the next lesson and hastily scribbled something down But then he recollected that in the last lesson he learned the grammar of ish The spelling rules state that ish contains some forbidden pairs of letters such letters can never occur in a sentence next to each other Also the order of the letters doesn t matter for example if the pair of letters is forbidden then any occurrences of substrings and are also forbidden Also each pair has different letters and each letter occurs in no more than one forbidden pair Now Sergey wants to correct his sentence so that it doesn t contain any forbidden pairs of letters that stand next to each other However he is running out of time so he decided to simply cross out some letters from the sentence What smallest number of letters will he have to cross out When a letter is crossed out it is removed so that the letters to its left and right if they existed become neighboring For example if we cross out the first letter from the string we get the string and if we cross out the second letter we get ,greedy,data structures
There are n people in a horizontal line each looking either to the left or the right Each person counts the number of people in the direction they are looking The of the line is the sum of each person s count For example in the arrangement where stands for a person looking left and stands for a person looking right the counts for each person are 0 3 2 3 4 and the value is 0 3 2 3 4 12 You are given the initial arrangement of people in the line For each k from 1 to n determine the maximum value of the line if you can change the direction of k people ,greedy,math
There are n players labelled from 1 to n Among them there are k impostors and n k crewmates The number of impostors k is not given to you In each question you can choose three distinct integers a b c 1 le a b c le n and ask Among the players labelled a b and c are there more impostors or more crewmates You will be given the integer 0 if there are more impostors than crewmates and 1 otherwise Find the number of impostors k and the indices of players that are impostors after asking at most n 6 questions The jury is which means the indices of impostors may not be fixed beforehand and can depend on your questions It is guaranteed that there is at least one set of impostors which fulfills the constraints and the answers to your questions at any time ,implementation,data structures
All of Slavic s friends are planning to travel from the place where they live to a party using their bikes And they all have a bike except Slavic There are n cities through which they can travel They all live in the city 1 and want to go to the party located in the city n The map of cities can be seen as an undirected graph with n nodes and m edges Edge i connects cities u i and v i and has a length of w i Slavic doesn t have a bike but what he has is money Every city has exactly one bike for sale The bike in the i th city has a slowness factor of s i Once Slavic buys a bike he can use it to travel from the city he is currently in to any neighboring city by taking w i cdot s j time considering he is traversing edge i using a bike j he owns Slavic can buy as many bikes as he wants as money isn t a problem for him Since Slavic hates traveling by bike he wants to get from his place to the party in the shortest amount of time possible And since his informatics skills are quite rusty he asks you for help What s the shortest amount of time required for Slavic to travel from city 1 to city n Slavic can t travel without a bike It is guaranteed that it is possible for Slavic to travel from city 1 to any other city ,implementation,math
Little Paul wants to learn how to play piano He already has a melody he wants to start with For simplicity he represented this melody as a sequence a 1 a 2 ldots a n of key numbers the more a number is the closer it is to the right end of the piano keyboard Paul is very clever and knows that the essential thing is to properly assign fingers to notes he s going to play If he chooses an inconvenient fingering he will then waste a lot of time trying to learn how to play the melody by these fingers and he will probably not succeed Let s denote the fingers of hand by numbers from 1 to 5 We call a any sequence b 1 ldots b n of fingers numbers A fingering is if for all 1 leq i leq n 1 the following holds if a i a i 1 then b i b i 1 because otherwise Paul needs to take his hand off the keyboard to play the i 1 st note if a i a i 1 then b i b i 1 because of the same if a i a i 1 then b i neq b i 1 because using the same finger twice in a row is dumb Please provide any convenient fingering or find out that there is none ,dp,data structures
Casimir has a rectangular piece of paper with a checkered field of size n times m Initially all cells of the field are white Let us denote the cell with coordinates i vertically and j horizontally by i j The upper left cell will be referred to as 1 1 and the lower right cell as n m Casimir draws of different sizes on the field A tick of size d d 0 with its center in cell i j is drawn as follows First the center cell i j is painted black Then exactly d cells on the top left diagonally to the center and exactly d cells on the top right diagonally to the center are also painted black That is all the cells with coordinates i h j pm h for all h between 0 and d are painted In particular a tick consists of 2d 1 black cells An already painted cell will remain black if painted again Below you can find an example of the 4 times 9 box with two ticks of sizes 2 and 3 You are given a description of a checkered field of size n times m Casimir claims that this field came about after he drew some possibly 0 ticks on it The ticks could be of different sizes but the size of each tick is at least k that is d ge k for all the ticks Determine whether this field can indeed be obtained by drawing some possibly none ticks of sizes d ge k or not ,greedy,math
You are given a board of size n times n n rows and n colums and two arrays of positive integers a and b of size n Your task is to place the chips on this board so that the following condition is satisfied for every cell i j there exists at least one chip in the same column or in the same row as the cell i j I e there exists a cell x y such that there is a chip in that cell and either x i or y j or both The cost of putting a chip in the cell i j is equal to a i b j For example for n 3 a 1 4 1 and b 3 2 2 One of the possible chip placements is as follows The total cost of that placement is 1 3 1 2 1 2 10 Calculate the minimum possible total cost of putting chips according to the rules above ,greedy,data structures
You are given an integer n and two sequences a 1 a 2 dots a n and b 1 b 2 dots b n Let s call a set of integers S such that S subseteq 1 2 3 dots n if for every element i of S the following condition is met for every j in 1 i 1 if a j divides a i then j is also included in S An empty set is always The of the set S is sum limits i in S b i You have to calculate the maximum possible of a set ,math,data structures
You are given a tree with n vertices rooted at vertex 1 For some permutation dagger a of length n let f a be the number of pairs of vertices u v such that a u a operatorname lca u v a v Here operatorname lca u v denotes the lowest common ancestor of vertices u and v Find the maximum possible value of f a over all permutations a of length n dagger A permutation of length n is an array consisting of n distinct integers from 1 to n in arbitrary order For example 2 3 1 5 4 is a permutation but 1 2 2 is not a permutation 2 appears twice in the array and 1 3 4 is also not a permutation n 3 but there is 4 in the array ,dp,data structures
In this problem we consider a very simplified model of Barcelona city Barcelona can be represented as a plane with streets of kind x c and y c for every integer c that is the rectangular grid However there is a detail which makes Barcelona different from Manhattan There is an avenue called Avinguda Diagonal which can be represented as a the set of points x y for which ax by c 0 One can walk along streets including the avenue You are given two integer points A and B somewhere in Barcelona Find the minimal possible distance one needs to travel to get to B from A ,implementation,data structures
Petya has integers He wants to split these integers in groups in such a way that the absolute difference of sums of integers in each group is as small as possible Help Petya to split the integers Each of integers should be exactly in one group ,math,data structures
You are given an array of integers a 1 a 2 ldots a n of length n and an integer k Two players are playing a game The first player chooses an index 1 le i le n Then the second player chooses a different index 1 le j le n i neq j The first player wins if a i a j is not divisible by k Otherwise the second player wins We play as the first player Determine whether it is possible to win and if so which index i should be chosen The absolute value of a number x is denoted by x and is equal to x if x ge 0 and x otherwise ,math,data structures
You are playing a variation of game Initially you have a multiset s of n integers Every integer in this multiset is a power of two You may perform any number possibly zero operations with this multiset During each operation you choose two integers from s remove them from s and insert the number equal to their sum into s For example if s 1 2 1 1 4 2 2 and you choose integers 2 and 2 then the multiset becomes 1 1 1 4 4 2 You win if the number 2048 belongs to your multiset For example if s 1024 512 512 4 you can win as follows choose 512 and 512 your multiset turns into 1024 1024 4 Then choose 1024 and 1024 your multiset turns into 2048 4 and you win You have to determine if you can win this game You have to answer q independent queries ,math,data structures
These days Arkady works as an air traffic controller at a large airport He controls a runway which is usually used for landings only Thus he has a schedule of planes that are landing in the nearest future each landing lasts 1 minute He was asked to insert one takeoff in the schedule The takeoff takes 1 minute itself but for safety reasons there should be a time space between the takeoff and any landing of at least s minutes from both sides Find the earliest time when Arkady can insert the takeoff ,implementation,math
You are given a tree with n nodes rooted at node 1 In this problem a leaf is a non root node with degree 1 In one operation you can remove a leaf and the edge adjacent to it possibly new leaves appear What is the minimum number of operations that you have to perform to get a tree also rooted at node 1 where all the leaves are at the same distance from the root ,greedy,data structures
Dima got into number sequences Now he s got sequence consisting of positive integers Also Dima has got a function which can be defined with the following recurrence Dima wonders how many pairs of indexes are there such that Help him count the number of such pairs ,implementation,data structures
Vlad and Nastya live in a city consisting of n houses and n 1 road From each house you can get to the other by moving only along the roads That is the city is a tree Vlad lives in a house with index x and Nastya lives in a house with index y Vlad decided to visit Nastya However he remembered that he had postponed for later k things that he has to do before coming to Nastya To do the i th thing he needs to come to the a i th house things can be done in any order In 1 minute he can walk from one house to another if they are connected by a road Vlad does not really like walking so he is interested what is the minimum number of minutes he has to spend on the road to do all things and then come to Nastya Houses a 1 a 2 dots a k he can visit in any order He can visit any house multiple times if he wants ,greedy,math
Piggy gave Turtle a dagger with n vertices and a sequence a 1 a 2 ldots a n on his birthday The binary tree is rooted at vertex 1 If a set of paths P x i y i in the tree covers each edge then Turtle will think that the set of paths is Note that a good set of paths can cover a vertex twice or more Turtle defines the of a set of paths as sum limits x y in P f x y where f x y denotes the text MEX ddagger of all a u such that vertex u is on the simple path from x to y in the tree including the starting vertex x and the ending vertex y Turtle wonders the value over all good sets of paths Please help him calculate the answer dagger A binary tree is a tree where every non leaf vertex has at most 2 sons ddagger text MEX of a collection of integers c 1 c 2 ldots c k is defined as the smallest integer x which does not occur in the collection c For example text MEX of 3 3 1 4 is 2 text MEX of 2 3 is 1 ,data structures,math
Little Susie thanks to her older brother likes to play with cars Today she decided to set up a tournament between them The process of a tournament is described in the next paragraph There are toy cars Each pair collides The result of a collision can be one of the following no car turned over one car turned over both cars turned over A car is good if it turned over in no collision The results of the collisions are determined by an matrix there is a number on the intersection of the th row and th column that describes the result of the collision of the th and the th car if this pair of cars never collided occurs only on the main diagonal of the matrix if no car turned over during the collision if only the th car turned over during the collision if only the th car turned over during the collision if both cars turned over during the collision Susie wants to find all the good cars She quickly determined which cars are good Can you cope with the task ,implementation,math
You are given some text t and a set of n strings s 1 s 2 dots s n In one step you can choose any occurrence of any string s i in the text t and color the corresponding characters of the text in red For example if t texttt bababa and s 1 texttt ba s 2 texttt aba you can get t color red texttt ba texttt baba t texttt b color red texttt aba texttt ba or t texttt bab color red texttt aba in one step You want to color all the letters of the text t in red When you color a letter in red again it stays red In the example above three steps are enough Let s color t 2 dots 4 s 2 texttt aba in red we get t texttt b color red texttt aba texttt ba Let s color t 1 dots 2 s 1 texttt ba in red we get t color red texttt baba texttt ba Let s color t 4 dots 6 s 2 texttt aba in red we get t color red texttt bababa Each string s i can be applied any number of times or not at all Occurrences for coloring can intersect arbitrarily Determine the minimum number of steps needed to color all letters t in red and how to do it If it is impossible to color all letters of the text t in red output ,greedy,implementation
Little Petya loves presents His mum bought him two strings of the same size for his birthday The strings consist of uppercase and lowercase Latin letters Now Petya wants to compare those two strings The letters case does not matter that is an uppercase letter is considered equivalent to the corresponding lowercase letter Help Petya perform the comparison ,implementation,data structures
Polycarp is sad New Year is coming in few days but there is still no snow in his city To bring himself New Year mood he decided to decorate his house with some garlands The local store introduced a new service this year called Build your own garland So you can buy some red green and blue lamps provide them and the store workers will solder a single garland of them The resulting garland will have all the lamps you provided put in a line Moreover no pair of lamps of the same color will be adjacent to each other in this garland For example if you provide 3 red 3 green and 3 blue lamps the resulting garland can look like this being the red green and blue color respectively Note that it s ok to have lamps of the same color on the ends of the garland However if you provide say 1 red 10 green and 2 blue lamps then the store workers won t be able to build any garland of them Any garland consisting of these lamps will have at least one pair of lamps of the same color adjacent to each other Note that the store workers should use all the lamps you provided So Polycarp has bought some sets of lamps and now he wants to know if the store workers can build a garland from each of them ,math,data structures
Ivan has an array consisting of elements Each of the elements is an integer from to Recently Ivan learned about permutations and their lexicographical order Now he wants to change replace number of elements in his array in such a way that his array becomes a i e each of the integers from to was encountered in his array exactly once If there are multiple ways to do it he wants to find the permutation among them Thus minimizing the number of changes has the first priority lexicographical minimizing has the second priority In order to determine which of the two permutations is lexicographically smaller we compare their first elements If they are equal compare the second and so on If we have two permutations and then is lexicographically smaller if where is the first index in which the permutations and differ Determine the array Ivan will obtain after performing all the changes ,greedy,data structures
A big football championship will occur soon n teams will compete in it and each pair of teams will play exactly one game against each other There are two possible outcomes of a game the game may result in a tie then both teams get 1 point one team might win in a game then the winning team gets 3 points and the losing team gets 0 points The score of a team is the number of points it gained during all games that it played You are interested in a hypothetical situation when all teams get the same score at the end of the championship A simple example of that situation is when all games result in ties but you want to minimize the number of ties as well Your task is to describe a situation choose the result of each game so that all teams get the same score and the number of ties is the minimum possible ,greedy,data structures
Rick is in love with Unity But Mr Meeseeks also love Unity so Rick and Mr Meeseeks are love rivals Unity loves rap so it decided that they have to compete in a rap game battle in order to choose the best Rick is too nerds so instead he s gonna make his verse with running his original algorithm on lyrics Rap God song His algorithm is a little bit complicated He s made a tree with vertices numbered from to and there s a lowercase english letter written on each edge He denotes to be the string made by writing characters on edges on the shortest path from to one by one a string of length equal to distance of to Note that is reverse of and is empty In order to make the best verse he can he needs to answer some queries but he s not a computer scientist and is not able to answer those queries so he asked you to help him Each query is characterized by two vertices and Answer to this query is the number of vertices like such that and is lexicographically larger than String is lexicographically larger than string if either and or exists such number that and Characters are compared like their ASCII codes or alphabetic order Help Rick get the girl or whatever gender Unity has ,data structures,math
Dora has just learned the programming language C However she has completely misunderstood the meaning of C She considers it as two kinds of adding operations on the array c with n elements Dora has two integers a and b In one operation she can choose one of the following things to do Choose an integer i such that 1 leq i leq n and increase c i by a Choose an integer i such that 1 leq i leq n and increase c i by b Note that a and b are and they can be the same Let s define a of array d as max d i min d i For instance the range of the array 1 2 3 4 is 4 1 3 the range of the array 5 2 8 2 2 1 is 8 1 7 and the range of the array 3 3 3 is 3 3 0 After any number of operations possibly 0 Dora calculates the range of the new array You need to help Dora minimize this value but since Dora loves exploring all by herself you only need to tell her the minimized value ,math,data structures
You are given a permutation p of length n and a positive integer k Consider a permutation q of length n such that for any integers i and j where 1 le i j le n we have p q i le p q j k Find the minimum possible number of inversions in a permutation q A permutation is an array consisting of n distinct integers from 1 to n in arbitrary order For example 2 3 1 5 4 is a permutation but 1 2 2 is not a permutation 2 appears twice in the array and 1 3 4 is also not a permutation n 3 but there is 4 in the array An inversion in a permutation a is a pair of indices i and j 1 le i j le n such that i j but a i a j ,dp,implementation
Squirrel Liss loves nuts There are trees numbered to from west to east along a street and there is a delicious nut on the top of each tree The height of the tree is Liss wants to eat all nuts Now Liss is on the root of the tree with the number In one second Liss can perform one of the following actions Walk up or down one unit on a tree Eat a nut on the top of the current tree Jump to the next tree In this action the height of Liss doesn t change More formally when Liss is at height of the tree she jumps to height of the tree This action can t be performed if Compute the minimal time in seconds required to eat all nuts ,greedy,math
PizzaForces is Petya s favorite pizzeria PizzaForces makes and sells pizzas of three sizes small pizzas consist of 6 slices medium ones consist of 8 slices and large pizzas consist of 10 slices each Baking them takes 15 20 and 25 minutes respectively Petya s birthday is today and n of his friends will come so he decided to make an order from his favorite pizzeria Petya wants to order so much pizza that each of his friends gets at least one slice of pizza The cooking time of the order is the total baking time of all the pizzas in the order Your task is to determine the minimum number of minutes that is needed to make pizzas containing at least n slices in total For example if 12 friends come to Petya s birthday he has to order pizzas containing at least 12 slices in total He can order two small pizzas containing exactly 12 slices and the time to bake them is 30 minutes if 15 friends come to Petya s birthday he has to order pizzas containing at least 15 slices in total He can order a small pizza and a large pizza containing 16 slices and the time to bake them is 40 minutes if 300 friends come to Petya s birthday he has to order pizzas containing at least 300 slices in total He can order 15 small pizzas 10 medium pizzas and 13 large pizzas in total they contain 15 cdot 6 10 cdot 8 13 cdot 10 300 slices and the total time to bake them is 15 cdot 15 10 cdot 20 13 cdot 25 750 minutes if only one friend comes to Petya s birthday he can order a small pizza and the time to bake it is 15 minutes ,math,data structures
Jay managed to create a problem of difficulty x and decided to make it the second problem for Codeforces Round 921 But Yash fears that this problem will make the contest highly unbalanced and the coordinator will reject it So he decided to break it up into a problemset of n sub problems such that the difficulties of all the sub problems are a positive integer and their sum is equal to x The coordinator Aleksey defines the balance of a problemset as the GCD of the difficulties of all sub problems in the problemset Find the maximum balance that Yash can achieve if he chooses the difficulties of the sub problems optimally ,math,implementation
Vasya has days of vacations So he decided to improve his IT skills and do sport Vasya knows the following information about each of this days whether that gym opened and whether a contest was carried out in the Internet on that day For the th day there are four options on this day the gym is closed and the contest is not carried out on this day the gym is closed and the contest is carried out on this day the gym is open and the contest is not carried out on this day the gym is open and the contest is carried out On each of days Vasya can either have a rest or write the contest if it is carried out on this day or do sport if the gym is open on this day Find the minimum number of days on which Vasya will have a rest it means he will not do sport and write the contest at the same time The only limitation that Vasya has ,dp,math
Dima is taking part in a show organized by his friend Peter In this show Dima is required to cross a 3 times n rectangular field Rows are numbered from 1 to 3 and columns are numbered from 1 to n The cell in the intersection of the i th row and the j th column of the field contains an integer a i j Initially Dima s score equals zero and whenever Dima reaches a cell in the row i and the column j his score changes by a i j Note that the score can become negative Initially all cells in the first and the third row are marked as available and all cells in the second row are marked as unavailable However Peter offered Dima some help there are q special offers in the show the i th special offer allows Dima to mark cells in the second row between l i and r i as available though Dima s score reduces by k i whenever he accepts a special offer Dima is allowed to use as many special offers as he wants and might mark the same cell as available multiple times Dima starts his journey in the cell 1 1 and would like to reach the cell 3 n He can move either down to the next row or right to the next column meaning he could increase the current row or column by 1 thus making n 1 moves in total out of which exactly n 1 would be horizontal and 2 would be vertical Peter promised Dima to pay him based on his final score so the sum of all numbers of all visited cells minus the cost of all special offers used Please help Dima to maximize his final score ,dp,greedy
You are given 4 positive integers a b c d with a c and b d Find any pair of numbers x and y that satisfies the following conditions a x leq c b y leq d x cdot y is divisible by a cdot b Note that required x and y may not exist ,math,data structures
Cengiz recently learned Fibonacci numbers and now he is studying different algorithms to find them After getting bored of reading them he came with his own new type of numbers that he named numbers He defined them as follows f 0 a f 1 b f n f n 1 oplus f n 2 when n 1 where oplus denotes the bitwise XOR operation You are given three integers a b and n calculate f n You have to answer for T independent test cases ,math,data structures
An electrical grid in Berland palaces consists of 2 grids main and reserve Wires in palaces are made of expensive material so selling some of them would be a good idea Each grid main and reserve has a head node its number is 1 Every other node gets electricity from the head node Each node can be reached from the head node by a unique path Also both grids have exactly n nodes which do not spread electricity further In other words every grid is a rooted directed tree on n leaves with a root in the node which number is 1 Each tree has independent enumeration and nodes from one grid are not connected with nodes of another grid Also the palace has n electrical devices Each device is connected with one node of the main grid and with one node of the reserve grid Devices connect only with nodes from which electricity is not spread further these nodes are the tree s leaves Each grid s leaf is connected with exactly one device It is guaranteed that the whole grid two grids and n devices can be shown in this way like in the picture above main grid is a top tree whose wires are directed from the top to the down reserve grid is a lower tree whose wires are directed from the down to the top devices horizontal row between two grids which are numbered from 1 to n from the left to the right wires between nodes do not intersect Formally for each tree exists a depth first search from the node with number 1 that visits leaves in order of connection to devices 1 2 dots n firstly the node that is connected to the device 1 then the node that is connected to the device 2 etc Businessman wants to sell remove amount of wires so that each device will be powered from at least one grid main or reserve In other words for each device should exist at least one path to the head node in the main grid or the reserve grid which contains only nodes from one grid ,data structures,greedy
What the cats do when they unite Right they have a party Since they wanted to have as much fun as possible they invited all their friends Now n cats are at the party sitting in a circle and eating soup The rules are simple anyone having finished their soup leaves the circle Katie suddenly notices that whenever a cat leaves the place where she was sitting becomes an empty space which means the circle is divided into smaller continuous groups of cats sitting next to each other At the moment Katie observes there are m cats who left the circle This raises a question for Katie what is the maximum possible number of groups the circle is divided into at the moment Could you help her with this curiosity You can see the examples and their descriptions with pictures in the Note section ,greedy,data structures
There are n rectangles in a row You can either turn each rectangle by 90 degrees or leave it as it is If you turn a rectangle its width will be height and its height will be width Notice that you can turn any number of rectangles you also can turn all or none of them Find out if there is a way to make the rectangles go in order of non ascending height In other words after all the turns a height of every rectangle has to be not greater than the height of the previous rectangle if it is such ,greedy,math
You are given n positive integers a 1 ldots a n and an integer k geq 2 Count the number of pairs i j such that 1 leq i j leq n and there exists an integer x such that a i cdot a j x k ,math,data structures
The little boy Nikita was given some cubes as a present He decided to build a tower out of them Initially the tower doesn t have any cubes In one move Nikita either puts exactly 1 cube on top of the tower or removes exactly 1 cube from the top of the tower Is it possible that after n moves the resulting tower has exactly m cubes ,math,data structures
